"id","year","address","city","zipcode","type"
"TNA0000X005",2017,"230 W. TRINITY LANE","NASHVILLE",37207,"LIHTC"
"TNA20000005",2000,"755 E ARGYLE AVE","NASHVILLE",37203,"LIHTC"
"TNA20000010",2000,"100 PENNINGTON AVE","NASHVILLE",37206,"LIHTC"
"TNA20000060",2000,"2135 VINE HILL RD","NASHVILLE",37204,"LIHTC"
"TNA20000075",2000,"2333 METRO CTR BLVD","NASHVILLE",37228,"LIHTC"
"TNA20010150",2001,"1830 SPRING BRANCH DR","MADISON",37115,"LIHTC"
"TNA20010160",2001,"400 E NOCTURNE DR","NASHVILLE",37207,"LIHTC"
"TNA20020015",2002,"1500 16 PORTER RD","NASHVILLE",NA,"LIHTC"
"TNA20020050",2002,"683 JOSEPH AVE","NASHVILLE",37207,"LIHTC"
"TNA20020070",2002,"1714 SEIFRIED ST","NASHVILLE",37208,"LIHTC"
"TNA20020105",2002,"812 40TH AVE N","NASHVILLE",37209,"LIHTC"
"TNA20030065",2003,"431 OCALA DR","NASHVILLE",37211,"LIHTC"
"TNA20030105",2003,"1101 LAUREL ST","NASHVILLE",37203,"LIHTC"
"TNA20030145",2003,"411 MURFREESBORO PIKE","NASHVILLE",37210,"LIHTC"
"TNA20030260",2003,"469 PONDER PL","NASHVILLE",37228,"LIHTC"
"TNA20040045",2004,"919 S DICKERSON RD","GOODLETTSVILLE",37072,"LIHTC"
"TNA20040800",2004,"455 SWISS AVE","NASHVILLE",37211,"LIHTC"
"TNA20050045",2005,"104 LEMONT DR","NASHVILLE",37216,"LIHTC"
"TNA20050135",2005,"1195 WEDGEWOOD AVE","NASHVILLE",37203,"LIHTC"
"TNA20050195",2005,"3940 BELL RD","HERMITAGE",37076,"LIHTC"
"TNA20050801",2005,"3140 HAMILTON CHURCH RD","ANTIOCH",37013,"LIHTC"
"TNA20060065",2006,"816 17TH AVE N","NASHVILLE",37203,"LIHTC"
"TNA20060160",2006,"1310 CORELAND DR","MADISON",37115,"LIHTC"
"TNA20060804",2006,"345 BURNING TREE DR","HERMITAGE",37076,"LIHTC"
"TNA20070055",2007,"1316 TULIP GROVE RD","HERMITAGE",37076,"LIHTC"
"TNA20070060",2007,"660 OCALA DR","NASHVILLE",37211,"LIHTC"
"TNA20070110",2007,"571 MARGARET ROBERTSON DR","HERMITAGE",37076,"LIHTC"
"TNA20070165",2007,"499 SWISS AVE","NASHVILLE",37211,"LIHTC"
"TNA20070170",2007,"468 PONDER PL","NASHVILLE",37228,"LIHTC"
"TNA20070200",2007,"333 RIO VISTA DR","MADISON",37115,"LIHTC"
"TNA20080045",2008,"100 CURTIS HOLLOW RD","ANTIOCH",37013,"LIHTC"
"TNA20080105",2008,"6962 HWY 70 S","NASHVILLE",37221,"LIHTC"
"TNA20090040",2009,"2925 BABY RUTH LN","ANTIOCH",37013,"LIHTC"
"TNA20090105",2009,"731 KROHNE WAY","ANTIOCH",37013,"LIHTC"
"TNA20090514",2009,"1114 FOURTH AVE N","NASHVILLE",37208,"LIHTC"
"TNA20090519",2009,"401 KOTHE CT","ANTIOCH",37013,"LIHTC"
"TNA20090522",2009,"1316 TULIP GROVE RD","HERMITAGE",37076,"LIHTC"
"TNA20090801",2009,"279 TANGLEWOOD CT","NASHVILLE",37211,"LIHTC"
"TNA20100015",2010,"205 N EIGHTH ST","NASHVILLE",37206,"LIHTC"
"TNA20100523",2010,"3258 BRICK CHURCH PIKE","NASHVILLE",37207,"LIHTC"
"TNA20110531",2011,"344 BELL RD","NASHVILLE",37217,"LIHTC"
"TNA20110543",2011,"606 N DUPONT AVE","MADISON",37115,"LIHTC"
"TNA20110547",2011,"8 ACADEMY PL","NASHVILLE",37210,"LIHTC"
"TNA20110813",2011,"585 HICKORY HILLS BLVD","WHITES CREEK",37189,"LIHTC"
"TNA20120055",2012,"100 MIDDLETON CIR","NASHVILLE",37215,"LIHTC"
"TNA20120802",2012,"3110 ELM HILL PIKE","NASHVILLE",37214,"LIHTC"
"TNA20120807",2012,"3225 CREEKWOOD DR","NASHVILLE",37207,"LIHTC"
"TNA20130015",2013,"850 RICHARDS RD","ANTIOCH",37013,"LIHTC"
"TNA20130016",2013,"1816 ROBERT CARTWRIGHT DR","GOODLETTSVILLE",37072,"LIHTC"
"TNA20130019",2013,"1067 NASHBORO BLVD","NASHVILLE",37217,"LIHTC"
"TNA20130933",2013,"3970 CLARKSVILLE PIKE","NASHVILLE",37218,"LIHTC"
"TNA20160001",2016,"830 GLASTONBURY ROAD","NASHVILLE",37217,"LIHTC"
"TNA20160013",2016,"800 CHEYENNE BLVD","MADISON",37115,"LIHTC"
"TNA20171009",2017,"312 THUSS AVE.","NAHVILLE",37211,"LIHTC"
"TNA20190005",2019,"5636 OLD HICKORY BLVD","HERMITAGE",37076,"LIHTC"
"TNA20190006",2019,"1205 ROBINSON RD","OLD HICKORY",37138,"LIHTC"
"TNA20200009",2020,"60 LESTER AVENUE","NASHVILLE",37210,"LIHTC"
"B1",2014,"2121 26th Avenue North","Nashville",37208,"barnes"
"B2",2016,"2424 Charlotte Avenue","Nashville",37203,"barnes"
"B3",2016,"2611 Clarksville Pike","Nashville",37208,"barnes"
"B4",2016,"5636 Old Hickory Blvd","Hermitage",37076,"barnes"
"B5",2017,"2069 Whitney Avenue","Nashville",37201,"barnes"
"B6",2017,"300 East Webster Street","Madison",37115,"barnes"
"B7",2019,"35 Lindsley Avenue","Nashville",37210,"barnes"
"B8",2019,"3600 Clarksville Pike","Nashville",37218,"barnes"
"B9",2019,"825 Elm Hill Pike","Nashville",37210,"barnes"
